id,name
0,2562
1,4Hero
2,A New Funky Generation
3,A Reminiscent Drive
4,A Taste Of Honey
5,A Tribe Called Quest
6,A. R. Rahman
7,Adrian Sherwood
8,Afta-1
9,Afterlife
10,Afx
11,Agustin Pereyra Lucena
12,Akira Kosemura
13,Alif Tree
14,Alva Noto
15,Ammoncontact
16,Amon Tobin
17,Amp Fiddler
18,Amy Winehouse
19,Aphex Twin
20,Artful Dodger
21,Au
22,Autechre
23,Baby Mammoth
24,Barry White
25,Battles
26,Beanfield
27,Ben Benjamin
28,Ben Westbeech
29,Benny Sings
30,Bent
31,Big Bud
32,Billy Joel
33,Björk
34,Blockhead
35,Blue Boy
36,Boards Of Canada
37,Bobbi Humphrey
38,Bobby Womack
39,Bombay Bicycle Club
40,Bonobo
41,Boom Boom Satellites
42,Broadway Project
43,Bugge Wesseltoft
44,Burial
45,Buscemi
46,Byetone
47,Cadence Weapon
48,Calm
49,Carl Craig
50,Cerrone
51,Chanel
52,Chris Rea
53,Christian Prommer'S Drumlesson
54,Clark
55,Coh
56,Cokiyu
57,Coldcut
58,Coldplay
59,Cornelius
60,Daedelus
61,Dapayk Solo
62,Darondo
63,Das Bierbeben
64,Deadbeat
65,Deniece Williams
66,Des'Ree
67,Deyampert
68,Dido
69,Digitalism
70,Diplo
71,Dj Kentaro
72,Donald Byrd
73,Donny Hathaway
74,Dorian Concept
75,Dub Tractor
76,Dubfire
77,Dublex Inc.
78,"Earth, Wind & Fire"
79,Ennio Morricone
80,Enya
81,Erykah Badu
82,Everything But The Girl
83,Fania All-Stars
84,Fantastic Plastic Machine
85,Felix Laband
86,Fila Brazillia
87,Fink
88,Fleet Foxes
89,Flying Lotus
90,Fog
91,Frank Bretschneider
92,Freddie Hubbard
93,Funkadelic
94,Gabin
95,Gaiser
96,Ghislain Poirier
97,Gilles Peterson
98,Glenn Gould
99,Goldie
100,Goldmund
101,"Grover Washington, Jr."
102,Gustavo Santaolalla
103,Heartthrob
104,Heatwave
105,Hefner
106,Helios
107,Henry Mancini
108,Herbert
109,Herbie Hancock
110,Hexstatic
111,Hifana
112,Hocus Pocus
113,Holy Fuck
114,Homelife
115,Hudson Mohawke
116,I Am Robot And Proud
117,Ian O'Brien
118,Idris Muhammad
119,Incognito
120,J-Live
121,Jackson And His Computer Band
122,Jaga Jazzist
123,James Brown
124,Jamie Lidell
125,Janet Jackson
126,Jazzanova
127,Jazztronik
128,Jeff Beck
129,Jeff Mills
130,Jermaine Jackson
131,Jimmy Edgar
132,Jimmy Smith
133,Jimpster
134,John Matthias
135,Johnny Foreigner
136,Jonny Greenwood
137,José Padilla
138,Kaito
139,Kangding Ray
140,Karma
141,Kelis
142,Ken Ishii
143,Kid Koala
144,King Geedorah
145,Kirsty Hawkshaw
146,Klute
147,Koop
148,Kraak & Smaak
149,Kuniyuki Takahashi
150,Kyoto Jazz Massive
151,Labi Siffre
152,Lady Gaga
153,Lamb
154,Lemuria
155,Les Négresses Vertes
156,Levitation
157,Limbo Experience
158,Lisa Shaw
159,Loco Dice
160,Loka
161,London Elektricity
162,Lonnie Liston Smith
163,Lou Donaldson
164,Louie Austen
165,Ludwig Van Beethoven
166,Luke Slater
167,Lusine Icl
168,Madlib
169,Manual
170,Marc Houle
171,Marvin Gaye
172,Masomenos
173,Matmos
174,Matthew Herbert
175,Maurice Ravel
176,Me'Shell Ndegéocello
177,Mika
178,Milosh
179,Minilogue
180,Minnie Riperton
181,Minus 8
182,Miss Kittin & The Hacker
183,Mj Cole
184,Moby
185,Moodymann
186,Mutabaruka
187,Nitin Sawhney
188,Nookie
189,Nuyorican Soul
190,Oasis
191,One Self
192,Onra & Quetzal
193,Orbital
194,Paco Fernández
195,Parliament
196,Pat Metheny Group
197,Pendulum
198,Pharoah Sanders
199,Pig & Dan
200,Plaid
201,Plastikman
202,Pleasure
203,Pomassl
204,Pop Levi
205,Prefuse 73
206,Radiohead
207,Raphael Saadiq
208,Rasmus Faber
209,Recloose
210,Red Hot Chili Peppers
211,Reel People
212,Rei Harakami
213,Richie Hawtin
214,Rick James
215,Rinôçérôse
216,Rjd2
217,Rob Dougan
218,Rob Swift
219,Rocco
220,Roni Size & Reprazent
221,Roots Manuva
222,Rouge Rouge
223,Roy Ayers
224,Rufus
225,Röyksopp
226,Sack Und Blumm
227,Sade
228,Salt Tank
229,Samantha James
230,Samim
231,Savath & Savalas
232,Scsi-9
233,Seal
234,Seelenluft
235,Sensual Physics
236,Shugo Tokumaru
237,Silent Poets
238,Sketch Show
239,Sneaky Sound System
240,Sonar Kollektiv Orchester
241,Sonny Clark
242,Soulphiction
243,Soundgarden
244,Spank Rock
245,Spencer Bohren
246,Squarepusher
247,Stateless
248,Steve Reich
249,Streamer
250,Sugar Plant
251,Sun Ra
252,Susumu Yokota
253,Suzukiski
254,Switch
255,Sébastien Tellier
256,T-Pain
257,Talvin Singh
258,The Ananda Project
259,The Ballistic Brothers
260,The Bar-Kays
261,The Beloved
262,The Birthday
263,The Black Dog
264,The Black Seeds
265,The Chemical Brothers
266,The Cinematic Orchestra
267,The Detroit Experiment
268,The Herbaliser
269,The Isley Brothers
270,The Long Lost
271,The Matthew Herbert Big Band
272,The Strike Boys
273,The Sugarhill Gang
274,The Verve
275,Theo Parrish
276,Thief
277,Third World Love
278,Thom Yorke
279,Thomas Newman
280,Tiefschwarz
281,Tiga
282,Tin Hat Trio
283,To Rococo Rot
284,Tommy Guerrero
285,Tortured Soul
286,Towa Tei
287,Troy Pierce
288,Two Banks Of Four
289,Ty
290,U2
291,Uh Huh Her
292,Underworld
293,Us3
294,Wagon Christ
295,Wiley
296,Wim Mertens
297,Woodblue
298,Yael Naim
299,Yesterdays New Quintet
300,Zazen Boys
301,Zeep
302,[Unknown]
303,くるり
304,はっぴいえんど
305,原田郁子
306,吉澤はじめ
307,坂本龍一
308,矢野顕子
309,竹村延和
310,高木正勝
311,$Wingin' Utter$
312,+44
313,...And You Will Know Us By The Trail Of Dead
314,...But Alive
315,10Cc
316,2Raumwohnung
317,3 Doors Down
318,30 Seconds To Mars
319,311
320,4 Non Blondes
321,5Bugs
322,88 Fingers Louie
323,A Hawk And A Hacksaw
324,A.C. Newman
325,Aaliyah
326,Abba
327,Absolute Beginner
328,Ac/Dc
329,Acid House Kings
330,Adam Green
331,Aereogramme
332,Aerosmith
333,Air
334,Air Traffic
335,Al Green
336,Al Jarreau
337,Alan Menken
338,Alanis Morissette
339,"Albert Hammond, Jr."
340,Alexi Murdoch
341,Alexisonfire
342,Ali Farka Touré
343,Alien Ant Farm
344,Alison Krauss
345,Alkaline Trio
346,All Saints
347,Allure
348,Alma Cogan
349,Amanda Marshall
350,Ambulance Ltd
351,American Hi-Fi
352,Amiina
353,Amos Lee
354,Amy Macdonald
355,Anajo
356,Anberlin
357,Andrew Bird
358,Andrew Lloyd Webber
